city,country,id,lat,lng,temp,humidity,clouds,wind_speed
Severo-Kuril'sk,RU,2121385,50.68,156.12,13.08,84,89,10.29
Kansanshi,ZM,913613,-12.1,26.43,66.34,95,100,2.42
Ust'-Kut,RU,2013923,56.79,105.77,4.8,94,83,5.17
Shakawe,BW,933077,-18.37,21.85,89.6,43,4,3.22
Sawtell,AU,2150163,-30.38,153.1,83.34,83,100,17.22
Katsuura,JP,2112309,35.13,140.3,55.11,81,20,4.7
Raudeberg,NO,3146487,61.99,5.14,37.62,86,75,26.4
Denpasar,ID,1645528,-8.65,115.22,91.4,66,20,9.17
Kristiansund,NO,6453331,63.11,7.73,38.03,78,75,35.57
Loiza,PR,4566022,18.43,-65.88,71.02,94,40,3.36
Conakry,GN,2422465,9.54,-13.68,80.17,55,97,11.99
Gornyak,RU,1506260,50.99,81.47,28.69,76,61,17.45
Ponta do Sol,PT,2264557,32.67,-17.1,54.75,71,20,5.82
Clyde River,CA,5924351,70.47,-68.59,-13.0,75,20,26.4
Westport,US,4845585,41.14,-73.36,31.37,86,1,3.04
Pemagatsel,BT,1337379,27.03,91.43,50.59,74,48,4.61
Namtsy,RU,2019488,62.72,129.67,-40.0,65,49,2.24
Thunder Bay,CA,6166142,48.4,-89.32,18.43,92,90,4.7
Beloha,MG,1067565,-25.17,45.05,86.14,38,77,13.6
Grand Forks,US,5059429,47.93,-97.03,22.48,92,90,6.93
Constitucion,CL,3893726,-35.33,-72.42,57.36,67,53,2.93
Ostrow Mazowiecka,PL,762850,52.8,21.9,35.01,56,99,13.38
Richards Bay,ZA,962367,-28.78,32.04,76.26,76,0,14.05
Adamantas,GR,265711,36.73,24.43,46.4,45,0,16.11
Kaitangata,NZ,2208248,-46.28,169.85,64.0,84,36,4.0
Alofi,NU,4036284,-19.06,-169.92,78.8,94,100,16.11
Hofn,IS,2630299,64.25,-15.21,36.55,47,100,10.0
Aconibe,GQ,2310547,1.3,10.94,80.98,57,77,3.96
Santa Rosa,PH,1687894,14.31,121.11,79.56,78,75,6.93
Esperance,AU,2071860,-33.87,121.9,75.2,60,90,14.99
Beyneu,KZ,610298,45.32,55.2,32.72,75,65,18.19
Mandalgovi,MN,2030065,45.76,106.27,9.79,74,0,10.04
Jalu,LY,86049,29.03,21.55,55.9,65,0,4.07
Dawlatabad,AF,1142226,36.41,64.91,57.06,46,67,13.31
Monterrey,MX,3995465,25.67,-100.32,47.73,62,5,4.7
Cayenne,GF,3382160,4.93,-52.33,69.8,94,89,2.24
Touros,BR,3386213,-5.2,-35.46,77.0,94,75,4.7
Mogadishu,SO,53654,2.04,45.34,86.0,62,40,18.34
Amazar,RU,2027806,53.86,120.88,-16.26,95,40,2.44
Segou,ML,2451478,13.43,-6.22,82.62,9,100,15.79
Lusambo,CD,210379,-4.97,23.45,89.38,46,100,2.98
Sitka,US,5557293,57.05,-135.33,37.4,93,90,8.05
Auki,SB,2109701,-8.77,160.7,84.11,78,6,12.39
Kabare,CD,215605,-2.47,28.82,72.32,65,98,0.65
Oranjestad,AW,3577154,12.52,-70.03,78.01,79,33,9.57
Cayambe,EC,3659578,0.05,-78.13,57.2,93,90,3.36
Lebu,CL,3883457,-37.62,-73.65,52.2,85,18,4.99
Ati,TD,2436400,13.22,18.34,70.14,14,1,13.76
Moron,AR,3430545,-34.65,-58.62,72.77,83,62,4.7
Meulaboh,ID,1214488,4.14,96.13,84.94,72,0,10.04
Cefalu,IT,2525041,38.04,14.02,49.91,73,0,1.99
